Date,aus,can,rsa,ger,fra,ned
2007-01-03,14.704936,20.367802,40.731976,21.44706,25.546461,20.164083
2007-01-04,14.430074,20.03862,40.06126,21.375965,25.353046,20.133539
2007-01-05,14.192698,19.972788,39.136776,21.020489,25.025713,19.843292
2007-01-08,14.273906,19.841114,39.499325,20.957296,25.018276,19.873846
2007-01-09,14.355117,19.882259,39.216537,21.052092,25.085232,19.904394
2007-01-10,14.255163,19.857574,39.082386,20.823002,24.839733,19.736364
2007-01-11,14.38635,19.948099,39.539207,21.01259,25.12986,19.866205
2007-01-12,14.629972,20.392485,40.199032,21.233776,25.308405,20.125896
2007-01-16,14.604982,20.11269,40.601452,21.352266,25.204256,20.202276
2007-01-17,14.592495,20.326651,40.898739,21.233776,25.100109,20.225187
2007-01-18,14.679944,20.104458,40.938629,21.11528,25.025713,20.156443
2007-01-19,14.873594,20.384258,41.109028,21.407566,25.315844,20.408501
2007-01-22,14.842363,20.153831,41.406315,21.162682,25.100109,20.156443
2007-01-23,15.154702,20.557074,42.142265,21.320669,25.263769,20.316839
2007-01-24,15.029768,20.76281,42.330799,21.44706,25.464632,20.316839
2007-01-25,14.69244,20.548847,40.713844,21.202179,25.077787,20.018959
2007-01-26,14.698688,20.696974,41.424438,21.217983,25.181942,20.072428
2007-01-29,14.704936,20.557074,40.637711,21.312767,25.330723,20.049511
2007-01-30,14.961053,20.779264,41.330177,21.605051,25.472069,20.225187
2007-01-31,14.942313,20.853334,41.95013,21.770939,25.553904,20.286289
2007-02-01,14.904833,21.001465,42.827484,21.944729,25.710129,20.461964
2007-02-02,14.904833,20.869795,42.352547,21.897329,25.67293,20.454327
2007-02-05,14.973548,20.96032,41.674587,21.818336,25.57622,20.278648
2007-02-06,15.13596,21.026154,42.609959,21.897329,25.605974,20.469603
2007-02-07,15.235909,20.935629,42.327175,22.015825,25.866352,20.576532
2007-02-08,15.323364,21.042608,42.222031,22.071121,25.754763,20.530701
2007-02-09,15.229662,21.009693,41.533195,21.865732,25.605974,20.423773
2007-02-12,15.13596,20.927401,41.257664,21.842033,25.449749,20.286289
2007-02-13,15.423316,21.314182,42.087891,22.09482,25.791956,20.500153
2007-02-14,15.585732,21.355331,42.787605,22.458195,26.178802,20.721653
2007-02-15,15.573236,21.544603,43.226284,22.48189,26.119284,20.744568
2007-02-16,15.610723,21.569292,43.799114,22.48189,26.163925,20.721653
2007-02-20,15.698174,21.412933,44.085522,22.60829,26.119284,20.828583
2007-02-21,15.691924,21.643358,44.139904,22.473993,26.067211,20.859133
2007-02-22,15.79812,21.577524,44.589458,22.529291,26.141603,20.874413
